Humidity,Temperature,LDR,Weather
77,33.4,152,Sunny
72,33.4,153,Sunny
72,33.3,154,Sunny
72,33.1,157,Sunny
72,33.1,159,Sunny
72,33.1,174,Sunny
72,33.1,163,Sunny
72,33.1,164,Sunny
72,33.1,164,Sunny
72,33.1,166,Sunny
72,33.1,165,Sunny
72,33.1,169,Sunny
72,33.1,169,Sunny
72,33.1,171,Sunny
72,33.1,175,Sunny
72,33.1,177,Sunny
72,33.1,181,Sunny
72,33.1,183,Sunny
72,33.1,182,Sunny
72,33.1,185,Sunny
72,33.1,197,Sunny
72,33.1,195,Sunny
72,33.1,213,Sunny
72,33.1,211,Sunny
72,33.1,194,Sunny
72,33.1,195,Sunny
72,33.1,194,Sunny
72,33.1,197,Sunny
72,33.1,200,Sunny
72,33.1,200,Sunny
72,33.1,200,Sunny
72,33.1,204,Sunny
72,33.1,205,Sunny
72,33.1,210,Sunny
72,33.1,209,Sunny
72,33.1,208,Sunny
72,33.1,211,Sunny
72,33.1,216,Sunny
72,33.1,220,Sunny
72,33.1,224,Sunny
77,33,543,Sunny
71,33,548,Sunny
71,33,544,Sunny
71,33,550,Sunny
71,33,555,Sunny
71,33,566,Sunny
71,33,543,Sunny
71,33,528,Sunny
71,33,535,Sunny
71,33,557,Sunny
71,33,528,Sunny
71,33,533,Sunny
71,33,537,Sunny
71,33,543,Sunny
71,33,545,Sunny
71,33,553,Sunny
71,33,557,Sunny
71,33,559,Sunny
71,33,561,Sunny
71,33,568,Sunny
71,33,571,Sunny
71,33,590,Sunny
71,33,594,Sunny
85,30.2,111,Sunny
84,29.4,113,Sunny
84,29.4,112,Sunny
84,29.4,113,Sunny
84,29.4,113,Sunny
84,29.4,109,Sunny
84,29.4,109,Sunny
84,29.4,81,Sunny
84,29.4,109,Sunny
84,29.4,110,Sunny
84,29.4,110,Sunny
84,29.4,109,Sunny
84,29.4,109,Sunny
84,29.4,110,Sunny
84,29.4,109,Sunny
84,29.4,110,Sunny
84,29.4,109,Sunny
84,29.4,106,Sunny
84,29.4,106,Sunny
84,29.4,109,Sunny
84,29.4,106,Sunny
84,29.4,106,Sunny
84,29.4,106,Sunny
84,29.4,106,Sunny
84,29.4,106,Sunny
84,29.4,106,Sunny
84,29.5,108,Sunny
84,29.5,106,Sunny
84,29.6,111,Sunny
84,29.5,115,Sunny
84,29.5,124,Sunny
84,29.4,114,Sunny
84,29.4,109,Sunny
84,29.6,105,Sunny
84,29.5,104,Sunny
84,29.4,104,Sunny
84,29.5,100,Sunny
84,29.4,99,Sunny
84,29.4,103,Sunny
84,29.4,100,Sunny
84,29.4,103,Sunny
84,29.4,102,Sunny
84,29.4,102,Sunny
84,29.4,104,Sunny
84,29.4,102,Sunny
84,29.4,103,Sunny
